"","week","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York City","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","US","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"1",2,0.606530659712633,0.367879441171442,0.740818220681718,0.740818220681718,0.818730753077982,0.818730753077982,3.71703186841267e-05,0.301194211912202,0.606530659712633,0.818730753077982,0.548811636094026,0.818730753077982,0.818730753077982,0.818730753077982,0.548811636094026,0.740818220681718,0.818730753077982,0.406569659740599,0.49658530379141,1,0.818730753077982,0.818730753077982,0.740818220681718,0.818730753077982,0.818730753077982,0.670320046035639,0.548811636094026,0.740818220681718,0.740818220681718,1,0.740818220681718,0.606530659712633,0.90483741803596,0.90483741803596,0.060810062625218,0.670320046035639,0.33287108369808,0.606530659712633,0.548811636094026,0.818730753077982,0.367879441171442,0.740818220681718,0.670320046035639,0.740818220681718,0.606530659712633,0.606530659712633,0.90483741803596,0.740818220681718,0.740818220681718,0.818730753077982,0.165298888221587,0.818730753077982,0.670320046035639
"2",3,0.789214183765368,0.614476405113049,0.890386839904353,0.8632746489347,0.954066036314595,0.929533911440316,5.08445147498077e-05,0.423650640165184,0.808427177707289,0.929533911440316,0.750708154088682,0.984029641299568,0.918989596800786,0.929533911440316,0.795408600035633,0.851621379044052,0.941187181330964,0.653166623682206,0.698481821786065,1.02237077185617,0.909448706367394,0.929533911440316,0.890386839904353,0.8795408157032,0.918989596800786,0.805655329272252,0.821343429128039,0.942714738676373,0.876153503918331,1.03019738342232,0.942714738676373,0.808427177707289,0.995555371325372,0.945599622014326,0.0632888148018843,0.853003570088374,0.605402876732092,0.789214183765368,0.771941796242456,0.909448706367394,0.700750524869522,0.906117108903304,0.872216564030295,0.8632746489347,0.829660819861063,0.77182954793422,1.00509626175876,0.942714738676373,0.876153503918331,0.968299372300617,0.437830681255599,0.954066036314595,0.835618934257226
"3",4,0.871299182389267,0.736932833366031,0.940173908272217,0.913061717302564,0.990949203715835,0.954257437910655,0.00229371223423561,0.497924218379518,0.890512176331188,0.951904683296481,0.850966997811486,1.00640041315573,0.93730523568952,0.970296115418682,0.877493598659532,0.89667058143761,0.98194938530933,0.788501906918818,0.809284980148399,1.02484952403283,0.936772428814687,0.954257437910655,0.935436042297911,0.912914085663526,0.968776665168649,0.879928907486586,0.932146587490373,0.987763941069931,0.921202706311888,1.03764396649324,0.972912122098692,0.882700755921623,1.0289286412857,0.954694899116022,0.0733406505465179,0.943721523377786,0.828533036880522,0.879932137054781,0.894398224495438,0.929690617813199,0.902647042864177,0.939490378863631,0.933026626655513,0.913061717302564,0.903934398075397,0.853914546558119,1.01737360166183,1.00992025141612,0.921202706311888,0.998496755722935,0.620514205308334,0.994828240292961,0.90989251247156
"4",5,0.912061386367633,0.811206411580365,0.955169485092695,0.933303628748368,1.0032265436189,0.962487184959675,0.0113889893359314,0.547711286747382,0.927395343732428,0.958642630295567,0.900754066179349,1.01139200706264,0.94553498273854,0.98257345532175,0.910866868619858,0.916912492883414,0.996944962129808,0.862775485133152,0.876490492888149,1.02854738774931,0.949049768717755,0.962487184959675,0.952008717699672,0.93315599710933,0.989018576614454,0.916812074887826,0.959470309937665,1.00800585251574,0.945926232782228,1.03988683421273,0.979008868664207,0.919583923322863,1.03802391838739,0.957722453861397,0.0733655665562494,0.988770725771344,0.939336195242856,0.924981339448338,0.961603737235188,0.937920364862219,0.957670262920585,0.949542214608264,0.969909794056753,0.933303628748368,0.93125812052269,0.894676750536485,1.02482018473276,1.01239900359279,0.945926232782228,1.00854859146757,0.803197729361068,1.0059372368312,0.9467756798728
"5",6,0.934432158223799,0.860993479948229,0.96126623165821,0.943355464493002,1.00874310803966,0.967003765902288,0.0196187363849515,0.647970130470186,0.945710982621162,0.961988595753038,0.925477592649689,1.01638360096955,0.950051563681152,0.989311402320836,0.931108780065662,0.930481051895615,1.00439154520073,0.90782468752671,0.917252696866515,1.03128683256808,0.954041362624666,0.967478778866585,0.960238464748692,0.945433337012399,1.0001275731527,0.939182846743992,0.965567056503181,1.01710112961743,0.955978068526861,1.03990353591352,0.982354834121679,0.946907645770155,1.03986022316442,0.958953365764071,0.0734210181556816,1.00104806567441,0.980098399221222,0.943296978337073,0.991801120657506,0.94343692928298,0.971238821932785,0.954533808515174,0.986482469458514,0.945580968651437,0.944826679534891,0.912992389425219,1.0261805527703,1.01239903134362,0.959494791794429,1.01057802210386,0.893915682650481,1.01203398339672,0.957884676411042
"6",7,0.949427735044276,0.883364251804394,0.964964095374693,0.950093411492087,1.01282987947813,0.968234677804961,0.0200715635678383,0.730055129094084,0.96070655944164,0.963219507655712,0.940473169470167,1.01886235314622,0.952080994317448,0.993009266037319,0.947681455467423,0.937927634966539,1.0084783166392,0.935148409974003,0.947450080288833,1.03129055922126,0.958557943567278,0.969957531043252,0.964325236187156,0.955485172757032,1.00511916705961,0.957498485632726,0.968045808679847,1.02319787618295,0.964207815575881,1.04072864083678,0.985382388867055,0.963480321171917,1.0415217804376,0.959778470687337,0.106794288116008,1.00439403113188,0.993666958233423,0.954405974875315,1.00407846056057,0.946176374101748,0.986234398753263,0.96127175551426,0.990569240896978,0.952318915650522,0.953056426583911,0.927987966245697,1.02655129631076,1.01375939938117,0.967724538843449,1.01169179725171,0.924113066072799,1.0157318471132,0.95924504444859
"7",8,0.955524481609792,0.894473248342636,0.966993526010989,0.953120966237463,1.01507274719761,0.970477545524447,0.0200715862882982,0.785078349150492,0.964052524899111,0.964333282803556,0.955468746290644,1.02134110532289,0.953441362354996,0.995038696673614,0.956776732569119,0.944665581965625,1.01121776145796,0.951721085375764,0.967691991734638,1.03129670343361,0.961036695743945,0.9709653164723,0.966568103906642,0.959183036473515,1.00881703077609,0.971067044644927,0.969707365953021,1.02689573989943,0.968294587014345,1.04072882637592,0.988121833685823,0.980052996573678,1.04207486480774,0.960389723448466,0.37932608115002,1.00642346176818,0.998183539176036,0.965514971413557,1.01017520712609,0.948205804738044,0.990750979695876,0.968009702513345,0.992405545674007,0.956016779367005,0.957573007526523,0.942983543066175,1.02755908173981,1.01380957406323,0.976819815945145,1.01319523644469,0.939108642893277,1.01756815189023,0.962591009906061
"8",9,0.961041046030553,0.902702995391656,0.969236393730475,0.956818829953946,1.01657618639059,0.971837913561995,0.022314454007784,0.812402071597784,0.969044118806021,0.965693650841104,0.965520582035278,1.02134135577452,0.953502645850049,0.996152471821459,0.962873479134635,0.947693136711001,1.01456372691544,0.965289644387965,0.979969331637706,1.03129678680172,0.962873000520973,0.972801621249329,0.96930754872541,0.964699600894276,1.01290380221455,0.98111888038956,0.97154367073005,1.0281266518021,0.971992450730828,1.04275825701222,0.990151264322119,0.989148273675374,1.0429867467733,0.961214828371732,0.625923045091627,1.00743124719723,1.0006622913527,0.970506565320467,1.01241807484558,0.95068455691471,0.993229731872542,0.974106449078861,0.995751511131478,0.959044334112381,0.961659778964987,0.957979119886652,1.02838418666308,1.01380964949781,0.982336380365905,1.01503154122172,0.945846589892363,1.0200469040669,0.966288873622544
"9",10,0.965127817469017,0.913811991929899,0.970148275696029,0.95848038722712,1.01793655442814,0.972338364995436,0.0373100308282617,0.832643983043589,0.975140865371537,0.966246735211252,0.972258529034363,1.02382010795119,0.953614311658539,0.996828010596653,0.966960250573099,0.951039102168472,1.01622528418861,0.97438492148966,0.99002116738234,1.0317496139846,0.963243744061433,0.97330207268277,0.973394320163874,0.967727155639652,1.01474010699158,0.987856827388646,0.973205228003224,1.02843019094018,0.973828755507857,1.04277193120828,0.991382176224792,0.997378020724394,1.04326140034327,0.961826081132862,0.761258328328239,1.00744970543122,1.00127354411383,0.976603311885983,1.01266659167268,0.956781303480226,0.994141613838097,0.981553032149785,0.995842935362956,0.960275246015054,0.963902646684473,0.968030955631286,1.02879392164206,1.01382810773181,0.986034244082388,1.01577812703009,0.952584536891448,1.02072244284209,0.966288949057128
"10",11,0.967867262287785,0.923863827674532,0.971984580473058,0.959840755264668,1.01916746633081,0.972891449365583,0.0378104822617023,0.841739260145284,0.980657429792297,0.966993321019629,0.978355275599879,1.02383248087545,0.953619342114147,0.997076527423761,0.968989681209395,0.95377854698724,1.0184681519081,0.980481668055176,0.996117913947855,1.03225006541804,0.963653479040412,0.975331503319065,0.976740285621346,0.968402694414846,1.01721885916825,0.991554691105129,0.97403033292649,1.02943797636923,0.975332194700835,1.04332501557843,0.992389961653841,1.00146479216286,1.04359686297117,0.962326532566302,0.816281548384647,1.0074509459263,1.0020986490371,0.979949277343454,1.01349169659595,0.961772897387136,1.00023836040361,0.984292476968554,0.995954601171447,0.960886498776184,0.966145514403959,0.974768902630371,1.02920365662104,1.01385302374154,0.988512996259055,1.01743968430327,0.954827404610934,1.02105790546999,0.966356677793619
"11",12,0.971565126004268,0.929380392095293,0.973215492375732,0.961677060041697,1.01999257125408,0.973391900799024,0.0402892344383687,0.849185843216209,0.986754176357813,0.967546405389777,0.982442047038343,1.02424221585443,0.953622714129381,0.997752066198955,0.971729126028163,0.956517991806008,1.01969906381077,0.984998248997789,1.00163447836862,1.03230551701748,0.964661264469461,0.976562415221739,0.979767840366721,0.968903145848286,1.01872229836123,0.997651437670644,0.974776918734867,1.02945837587264,0.975885279070983,1.04332838759366,0.993750329691388,1.00698135658362,1.04390040210925,0.962477265641398,0.843605270831939,1.00745122271817,1.00310643446615,0.983295242800926,1.01394452377884,0.965118862844607,1.00432513184208,0.985406252116398,0.996507685541594,0.962117410678857,0.967057396369513,0.979760496537281,1.0292173308171,1.01385675039471,0.990016435452032,1.01855345945111,0.958173370068405,1.02151073265288,0.966356746049652
"12",13,0.974043878180935,0.934371986002203,0.973768576745879,0.961722459971459,1.02073915706246,0.974399686228072,0.0403141504481002,0.855282589781724,0.986845600589291,0.967999232572663,0.986139910754826,1.02424900625924,0.953624085088467,0.9988658413468,0.973565430805192,0.958354296583037,1.02092997571344,0.986501688190766,1.00329603564179,1.03280596845092,0.96503200800992,0.976933158762198,0.982795395112097,0.969014811656776,1.0199532102639,1.00013018984731,0.974789291659129,1.03046616130169,0.976797161036537,1.04388147196381,0.995110697728936,1.01149793752623,1.04390790666717,0.963591040789243,0.855882610735008,1.00868213462084,1.00347717800661,0.986034687619694,1.01462006255403,0.967361730564093,1.00568549987962,0.986152837924775,0.998986437718261,0.963477778716405,0.967732935144707,0.984277077479894,1.02921845326347,1.01385675050812,0.990469262634919,1.01922899822631,0.961871233784888,1.02262450780072,0.96644817028113
"13",14,0.975404246218482,0.938069849718686,0.974515162554256,0.961834125779949,1.0212922414326,0.975224791151338,0.0403164107775071,0.858980453498207,0.987298427772178,0.968302771710742,0.989167465500202,1.02470183344213,0.953790670899455,0.999169380484879,0.97506886999817,0.959857735776015,1.02229034375099,0.989529242936142,1.00479947483477,1.03281609854452,0.965335547147999,0.978594716035372,0.984631699889126,0.969048444751962,1.02106698541174,1.00347615530478,0.975535877467505,1.03046653493163,0.977071814606509,1.04449272472494,0.996118483157985,1.01823588452532,1.04391620048633,0.964704815937087,0.859580474451491,1.00868325706721,1.00372569483371,0.986405431160153,1.01466546248379,0.968186835487359,1.00651060480289,0.986828376699969,0.999661976493455,0.964089031477535,0.968479520953084,0.988363848918358,1.02921920566177,1.01508766241079,0.991080515396049,1.01984025098743,0.966387814727501,1.02344961272399,0.966559836089621
"14",15,0.977065803491656,0.945516432789611,0.974763679381364,0.963670430556978,1.0219677802078,0.975391376962326,0.040316687569373,0.863972047405118,0.995528174821198,0.96855128853785,0.991003770277231,1.02470933800004,0.953840845581511,0.999320113559974,0.976076655427218,0.960106252603123,1.02233142330622,0.990643018083987,1.00753891965354,1.03284653102752,0.965519652941666,0.978898255173451,0.986135139082104,0.96912329658185,1.02108544364574,1.00513771257796,0.975576957022731,1.0304702615848,0.977683067367639,1.04449374035641,0.996618934591425,1.0204787522448,1.04406693356142,0.965616697902642,0.863667245889955,1.00868940127956,1.0038491046378,0.988241735937182,1.01469299893314,0.968370941281026,1.00733570972616,0.987238111678949,1.00300794195093,0.964589482910975,0.969155059728278,0.99170981437583,1.02921943227978,1.01509322192404,0.992583954589026,1.01996366079152,0.970085678443984,1.02378507535189,0.968221393362794
"15",16,0.979544555668323,0.94735273756664,0.975038332951336,0.963973969695057,1.02233852374826,0.975694916100405,0.0403268176629716,0.866214915124603,0.996759086723871,0.968854827675929,0.992011555706279,1.02472603970083,0.953952511390001,0.99947084663507,0.976901760350484,0.960354769430231,1.02294267606735,0.993382462902755,1.0083640245768,1.03339961539767,0.965556823260351,0.979451339543599,0.989833002798587,0.969141754815846,1.0214561871862,1.00679926985113,0.975590631218796,1.03050743190348,0.977907934691818,1.04450387045001,0.997230187352555,1.02170966414748,1.04408204588524,0.966292236677836,0.864898157792628,1.00873957596162,1.00407397196198,0.989903293210356,1.01519345036658,0.968471980682863,1.00740343846265,0.987738563112389,1.00401572737997,0.965200735672105,0.969564794707258,0.994737369121205,1.02922193033011,1.01534173875114,0.993591740018075,1.02107743593937,0.971921983221013,1.02408861448997,0.968229687181955
"16",17,0.980775467570996,0.951869318509252,0.975341872089415,0.9639851651799,1.02256339107243,0.975919783424584,0.140585661385775,0.873661498195528,1.00227565114463,0.969158366814008,0.992836660629545,1.02522649113427,0.954452962823442,0.999621579710165,0.977311495329464,0.96065830856831,1.02335241104633,0.994742830940303,1.01020032935383,1.0334245314074,0.965805340087458,0.980276444466865,0.996570949797672,0.969197206415278,1.0217916498141,1.00863557462816,0.975624264313982,1.03050746936319,0.977918064785416,1.0445039458846,0.99814206931811,1.02337122142065,1.0440822509377,0.966903489438965,0.866011932940473,1.00873961342132,1.00424055777297,0.992382045387022,1.01580470312771,0.968573020084701,1.00863435036532,0.988485148920766,1.00402187159233,0.965384841465773,0.970176047468387,0.996573673898234,1.02922198621342,1.01534249114944,0.993715149822161,1.02153026312225,0.972597521996206,1.02418965389181,0.968433155550966
"17",18,0.980911856497478,0.951889718012663,0.975508457900403,0.964010081189631,1.02272997688342,0.976595322199778,0.140585661845681,0.90098522064282,1.00530320589001,0.969191999909194,0.993389744999693,1.02529421987076,0.954514246318495,0.99977231278526,0.977514963698474,0.961269561329439,1.0235772783705,0.99548941674868,1.0126790815305,1.03342657663803,0.96582573959087,0.980281474922472,0.998600380433968,0.969238285970503,1.0219423828892,1.00900631816862,0.975629823827224,1.03050784299313,0.978068797860512,1.04450425178692,0.998445608456188,1.02460213332332,1.04409592513377,0.966909633651319,0.866565017310621,1.0087396548207,1.00429073245502,0.993057584162216,1.01621443810669,0.968623194766757,1.008671520684,0.988635881995861,1.00404441653024,0.966060380240966,0.970450701038359,0.997485555863789,1.02922448426375,1.01534434175064,0.99408589336262,1.02175513044643,0.973711297144051,1.02423073344703,0.968435006152163
"18",19,0.982142768400152,0.954132585732149,0.976119710661532,0.964030480693042,1.02306543951133,0.977095773633218,0.140593166403596,0.92570874711316,1.00530357951995,0.969222432392202,0.994397530428741,1.02534439455282,0.955260832126872,0.999873352187098,0.977924698677454,0.961679296308419,1.02388081750858,0.995514332758412,1.01323216590064,1.03343272085038,0.96602920795988,0.980336926521904,0.999100831867409,0.969329710201981,1.02207877181568,1.0094591453515,0.975630236752165,1.03051287344874,0.978124249459944,1.04450440369351,0.998781071084091,1.02497287686378,1.04409965178694,0.967001057882797,0.866813534137729,1.00875085030554,1.0044271213815,0.993668836923346,1.01712632007225,0.968631488585918,1.0087392494205,0.988971344623764,1.00422852232391,0.966135232070854,0.970587089964841,0.998038640233937,1.02922585522283,1.0153488934951,0.994186932764457,1.02236638320756,0.974121032123031,1.02432215767851,0.968438378167398
"19",20,0.983256543547997,0.955363497634823,0.976270443736628,0.964042853617304,1.0234751744903,0.977136853188444,0.140594406898676,0.936817743651402,1.00532203775394,0.969249968841552,0.995144116237118,1.02540567804787,0.955509348953979,0.999878382642705,0.978199352247426,0.961845882119407,1.02438126894202,0.995717801127422,1.01489372317382,1.03344509377464,0.966034767473122,0.98033942457223,0.999712084628538,0.969344822525801,1.02215362364557,1.01020573115988,0.975631068280884,1.0305134308391,0.978179701059376,1.04450996320675,0.998931804159186,1.02510926579026,1.04420069118878,0.967204526251808,0.867424786898858,1.00876596262936,1.00448257298094,0.994039580463805,1.01762677150569,0.96867688851568,1.00878942410255,0.989122077698859,1.00478160669406,0.966383748897962,0.97081195728902,0.998448375212916,1.03013773718839,1.01534894406042,0.994278356995936,1.02297763596869,0.974130198210767,1.02433228777211,0.96857476709388
"20",21,0.983392932474479,0.95543834946471,0.976353167802184,0.964049644022111,1.02377871362838,0.977177932743669,0.140594819823618,0.942914490216918,1.00532316020031,0.969317697578043,0.995644567670559,1.0254305940576,0.95552605065477,0.999880880693031,0.978383458041094,0.961856012213005,1.02438741315438,0.996393339902616,1.01544680754397,1.03345188417945,0.966035783104593,0.98045109038072,1.00305805008601,0.969406106020854,1.02216112820348,1.01045424798699,0.975632583424996,1.03055883076887,0.978363806853044,1.04451008757736,0.999432255592627,1.02520069002174,1.04420076662336,0.967279378081695,0.867516211130337,1.0087659641563,1.00448760343654,0.994864685387071,1.01766394182437,0.96878855432417,1.00901429142673,0.989167477628622,1.0053346910642,0.966658402467934,0.970996063082688,0.998723028782889,1.03014078831394,1.01535811014815,0.994283916509177,1.02372422177707,0.974500941751226,1.02437768770187,0.968578493747052
"21",22,0.983596400843489,0.956798717502258,0.976489556728666,0.964502471204998,1.02392944670348,0.977678384177109,0.140595572221917,0.946260455674389,1.00533232628804,0.969378981073096,0.996255820431688,1.02617717986598,0.955567130209995,0.999887024905384,0.978686997179173,0.961860563957468,1.02513399896275,0.996544072977711,1.01695024673694,1.03345493530501,0.966060699114324,0.980473635318633,1.00406583551506,0.969542494947336,1.02218152770689,1.01086398296597,0.975652982928408,1.03057553246966,0.978391343302394,1.04451008757778,1.00054603074047,1.02531235583023,1.04427561845325,0.967283496670403,0.867700316924004,1.0087760942499,1.00461101324063,0.995068153756081,1.01793859539434,0.968849837819223,1.00901436686131,0.989208557183847,1.00533972151981,0.966794791394416,0.971097102484525,0.998947896107067,1.03014451496712,1.01548151995224,0.994284329434119,1.02417704895995,0.975412823716781,1.02437796449374,0.968592167943117
"22",23,0.983931863471392,0.956965303313246,0.976793095866745,0.96455792280443,1.02413291507249,0.977862489970777,0.140595594942377,0.948999900493157,1.00535078452204,0.969412614168282,0.996708647614575,1.02621825942121,0.95571786328509,0.99993719958744,0.979139824362059,0.962135217527441,1.02523503836459,0.996667482781798,1.01845368592992,1.03345743335533,0.966172364922815,0.980492093552629,1.00436937465314,0.969557607271156,1.02219664003071,1.01161056877435,0.975654657421617,1.0316893076175,0.97884417048528,1.04455548750754,1.00104648217391,1.0253260300263,1.04447908682226,0.967419885596885,0.867948833751112,1.00877609538109,1.00469373730619,0.995814739564458,1.01800632413084,0.96897324762331,1.00901939731692,0.989579300724306,1.00533980488792,0.967098330532495,0.971400641622604,0.999172763431246,1.03015201952503,1.01548213596387,0.994619792062021,1.02426847319143,0.977655691436267,1.024390337418,0.968594665993443
"23",24,0.984006715301279,0.957076969121736,0.976929484793227,0.96496765778341,1.02428364814759,0.977903569526002,0.140596426471096,0.953086671931621,1.0053631574463,0.969468065767714,0.997319900375705,1.02677134379135,0.955748295768099,0.999970832682626,0.979443363500138,0.962236256929278,1.02523531515646,0.996701115876984,1.01890651311281,1.03346299286858,0.96621344447804,0.980508795253419,1.00486982608658,0.969618890766209,1.0222643687672,1.01243567369761,0.975654842960753,1.03169067857659,0.978856543409542,1.04458591999055,1.00119721524901,1.02655694192897,1.0444902823071,0.967520924998722,0.868049873152949,1.00877628092022,1.00474391198824,0.995864914246514,1.01812973393492,0.969040976359801,1.00904431332665,0.989782769093317,1.00550639069891,0.967131963627681,0.971410771716202,0.999309152357728,1.0301656937211,1.01550253546728,0.994622290112347,1.02440486211791,0.977656931931347,1.02439950350574,0.968655949488496
"24",25,0.984310254439358,0.957118048676961,0.976938650880964,0.965004828102094,1.02428488864267,0.977931105975352,0.14059642647186,0.953911776854887,1.00536994785111,0.969559489999192,0.997504006169372,1.02697481216036,0.955755800326014,0.999972347826738,0.979555029308628,0.962256656432689,1.02523633078793,0.99671479007305,1.01892162543663,1.03346423336366,0.966296168543596,0.980675381064407,1.00494467791647,0.969639290269621,1.02248923609138,1.01273921283569,0.975655048013211,1.03174613017602,0.97902312922053,1.04465364872704,1.00150075438709,1.02659057502416,1.04449078665476,0.967571099680778,0.868216458963937,1.00878378547814,1.00476431149165,0.995947638312071,1.01819746267141,0.969041592371427,1.00906471283006,0.990192504072297,1.00553392714826,0.967268352554163,0.971478500452693,0.999432562161815,1.03016874484666,1.0155436150225,0.994631456200084,1.02477560565837,0.978027675471806,1.02453589243222,0.968672651189287
"25",26,0.984460987514454,0.957142964686693,0.977105236691951,0.965041998420778,1.02430743358058,0.977938610533267,0.140604720291021,0.954736881778153,1.00537299897667,0.969710223074287,0.99805709053952,1.02702021209013,0.955756815957485,0.99997607447991,0.979925772849088,0.962440762226356,1.02560707432839,0.997050252700952,1.01933136041561,1.03354695742921,0.966351620143029,0.980679107717579,1.00494470302646,0.969664206279352,1.02253031564661,1.01288994591079,0.975658420028445,1.03177976327121,0.979033259314128,1.04467619366495,1.00205383875723,1.02714365939431,1.04449092410554,0.96770748860726,0.868519998102016,1.0088665095437,1.00476680954198,0.996114224123058,1.01860719765039,0.969109321107918,1.00911488751212,0.990212903575708,1.00568466022335,0.96745245834783,0.971482227105865,0.999568951088297,1.030169082921,1.01737991979953,0.994672535755309,1.02522843284126,0.978398419012265,1.02453815276163,0.968672678940119
